station,date,tmpf,dwpf,relh,drct,sknt,alti,p01i,vsby,skyc1,metar
JFK,1/1/2019 01:35,0,0,0,120,15,30.04,0.1,3,BKN,KJFK 010135Z AUTO 12015KT 3SM +RA BR BKN004 OVC015 07/07 A3004 RMK P0010 T00700070 MADISHF
JFK,1/1/2019 01:40,0,0,0,120,14,30.03,0.13,3,BKN,KJFK 010140Z AUTO 12014KT 3SM +RA BR BKN004 BKN009 OVC015 07/07 A3003 RMK P0012 T00700070 MADISHF
JFK,1/1/2019 01:45,0,0,0,120,13,30.02,0.16,3,BKN,KJFK 010145Z AUTO 12013G18KT 3SM +RA BR BKN004 OVC009 07/07 A3002 RMK P0015 T00700070 MADISHF
JFK,1/1/2019 01:50,0,0,0,120,14,30.02,0.18,3,BKN,KJFK 010150Z AUTO 12014G19KT 3SM +RA BR BKN004 OVC009 07/07 A3002 RMK P0018 T00700070 MADISHF
JFK,1/1/2019 01:51,45,45,100,120,14,30.02,0.18,3,BKN,KJFK 010151Z 12014KT 3SM RA BR BKN005 OVC010 07/07 A3002 RMK AO2 SLP165 P0018 T00720072
JFK,1/1/2019 01:55,0,0,0,120,14,30.02,0.01,3,OVC,KJFK 010155Z AUTO 12014KT 3SM RA BR OVC004 07/07 A3002 RMK P0000 T00700070 MADISHF
JFK,1/1/2019 02:00,0,0,0,120,13,30.02,0.03,3,OVC,KJFK 010200Z AUTO 12013KT 3SM +RA BR OVC004 07/07 A3002 RMK P0002 T00700070 MADISHF
JFK,1/1/2019 02:05,0,0,0,120,12,30.02,0.05,3,OVC,KJFK 010205Z AUTO 12012G17KT 3SM RA BR OVC004 07/07 A3002 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 02:10,0,0,0,120,13,30.01,0.07,3,BKN,KJFK 010210Z AUTO 12013G18KT 3SM +RA BR BKN004 OVC012 07/07 A3001 RMK P0007 T00700070 MADISHF
JFK,1/1/2019 02:15,0,0,0,110,16,30.01,0.1,3,BKN,KJFK 010215Z AUTO 11016KT 3SM +RA BR BKN004 OVC015 07/07 A3001 RMK P0010 T00700070 MADISHF
JFK,1/1/2019 02:20,0,0,0,110,16,30.01,0.12,3,BKN,KJFK 010220Z AUTO 11016KT 3SM RA BR BKN004 OVC015 07/07 A3001 RMK P0011 T00700070 MADISHF
JFK,1/1/2019 02:25,0,0,0,110,14,30,0.12,3,BKN,KJFK 010225Z AUTO 11014KT 3SM RA BR BKN007 OVC015 07/07 A3000 RMK P0011 T00700070 MADISHF
JFK,1/1/2019 02:30,0,0,0,110,14,29.99,0.14,3,BKN,KJFK 010230Z AUTO 11014KT 3SM RA BR BKN007 BKN009 OVC015 07/07 A2998 RMK P0014 T00700070 MADISHF
JFK,1/1/2019 02:35,0,0,0,110,14,29.98,0.17,3,BKN,KJFK 010235Z AUTO 11014KT 3SM +RA BR BKN007 OVC015 07/07 A2997 RMK P0017 T00700070 MADISHF
JFK,1/1/2019 02:40,0,0,0,110,12,29.98,0.2,3,BKN,KJFK 010240Z AUTO 11012KT 3SM +RA BR BKN007 OVC015 07/07 A2997 RMK P0020 T00700070 MADISHF
JFK,1/1/2019 02:45,0,0,0,110,13,29.97,0.23,4,OVC,KJFK 010245Z AUTO 11013KT 4SM +RA BR OVC007 07/07 A2996 RMK P0023 T00700070 MADISHF
JFK,1/1/2019 02:50,0,0,0,110,11,29.97,0.25,4,OVC,KJFK 010250Z AUTO 11011KT 4SM +RA BR OVC007 07/07 A2996 RMK P0025 T00700070 MADISHF
JFK,1/1/2019 02:51,45,45,100,100,11,29.96,0.25,3,OVC,KJFK 010251Z 10011KT 3SM +RA BR OVC007 07/07 A2996 RMK AO2 SFC VIS 4 PRESFR SLP146 P0025 60063 T00720072 58060
JFK,1/1/2019 02:55,0,0,0,100,14,29.96,0.01,4,OVC,KJFK 010255Z AUTO 10014KT 4SM RA BR OVC007 07/07 A2995 RMK P0000 T00700070 MADISHF
JFK,1/1/2019 03:00,0,0,0,110,14,29.95,0.03,4,OVC,KJFK 010300Z AUTO 11014KT 4SM +RA BR OVC006 07/07 A2995 RMK P0002 T00700070 MADISHF
JFK,1/1/2019 03:05,0,0,0,100,12,29.94,0.05,4,OVC,KJFK 010305Z AUTO 10012KT 4SM RA BR OVC006 07/07 A2994 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 03:10,0,0,0,100,12,29.93,0.05,5,OVC,KJFK 010310Z AUTO 10012KT 5SM RA BR OVC004 07/07 A2993 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 03:15,0,0,0,110,15,29.93,0.06,6,OVC,KJFK 010315Z AUTO 11015KT 6SM -RA BR OVC004 07/07 A2993 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 03:20,0,0,0,110,14,29.93,0.07,6,OVC,KJFK 010320Z AUTO 11014KT 6SM RA BR OVC004 07/07 A2993 RMK P0007 T00700070 MADISHF
JFK,1/1/2019 03:25,0,0,0,110,15,29.92,0.08,4,OVC,KJFK 010325Z AUTO 11015KT 4SM RA BR OVC004 08/08 A2992 RMK P0007 T00800080 MADISHF
JFK,1/1/2019 03:30,0,0,0,110,13,29.92,0.1,4,OVC,KJFK 010330Z AUTO 11013KT 4SM +RA BR OVC004 08/08 A2992 RMK P0010 T00800080 MADISHF
JFK,1/1/2019 03:35,0,0,0,110,13,29.92,0.12,4,OVC,KJFK 010335Z AUTO 11013KT 4SM RA BR OVC004 08/08 A2992 RMK P0011 T00800080 MADISHF
JFK,1/1/2019 03:40,0,0,0,110,10,29.9,0.13,4,BKN,KJFK 010340Z AUTO 11010KT 4SM RA BR BKN004 OVC012 08/08 A2989 RMK P0012 T00800080 MADISHF
JFK,1/1/2019 03:45,0,0,0,120,12,29.89,0.16,4,BKN,KJFK 010345Z AUTO 12012KT 4SM +RA BR BKN004 OVC012 08/08 A2988 RMK P0015 T00800080 MADISHF
JFK,1/1/2019 03:50,0,0,0,110,13,29.88,0.18,4,BKN,KJFK 010350Z AUTO 11013KT 4SM RA BR BKN004 OVC012 08/08 A2987 RMK P0018 T00800080 MADISHF
JFK,1/1/2019 03:51,46,46,100,110,14,29.88,0.18,3,BKN,KJFK 010351Z 11014KT 3SM RA BR BKN005 OVC012 08/08 A2988 RMK AO2 SFC VIS 4 SLP118 P0018 T00780078
JFK,1/1/2019 03:55,0,0,0,110,14,29.88,0.01,4,BKN,KJFK 010355Z AUTO 11014KT 4SM RA BR BKN004 OVC012 08/08 A2987 RMK P0000 T00800080 MADISHF
JFK,1/1/2019 04:00,0,0,0,120,12,29.88,0.02,4,BKN,KJFK 010400Z AUTO 12012KT 4SM RA BR BKN004 OVC012 08/08 A2987 RMK P0001 T00800080 MADISHF
JFK,1/1/2019 04:05,0,0,0,110,12,29.88,0.04,4,BKN,KJFK 010405Z AUTO 11012KT 4SM +RA BR BKN004 OVC012 08/08 A2987 RMK P0003 T00800080 MADISHF
JFK,1/1/2019 04:10,0,0,0,110,11,29.86,0.05,4,BKN,KJFK 010410Z AUTO 11011KT 4SM +RA BR BKN004 OVC012 08/08 A2986 RMK P0005 T00800080 MADISHF
JFK,1/1/2019 04:13,46.9,46.9,100,120,12,29.86,0.08,2,BKN,KJFK 010413Z 12012KT 2SM +RA BR BKN005 OVC012 08/08 A2986 RMK AO2 PRESFR P0008 T00830083
JFK,1/1/2019 04:15,0,0,0,120,11,29.86,0.1,2,BKN,KJFK 010415Z AUTO 12011KT 2SM +RA BR BKN004 OVC012 08/08 A2986 RMK P0010 T00800080 MADISHF
JFK,1/1/2019 04:20,0,0,0,120,12,29.84,0.13,2,BKN,KJFK 010420Z AUTO 12012KT 2SM +RA BR BKN004 OVC012 09/09 A2984 RMK P0012 T00900090 MADISHF
JFK,1/1/2019 04:25,0,0,0,110,11,29.84,0.16,2,BKN,KJFK 010425Z AUTO 11011KT 2SM +RA BR BKN004 OVC012 09/09 A2984 RMK P0015 T00900090 MADISHF
JFK,1/1/2019 04:30,0,0,0,120,11,29.83,0.17,2,BKN,KJFK 010430Z AUTO 12011KT 2SM RA BR BKN004 OVC012 09/09 A2982 RMK P0017 T00900090 MADISHF
JFK,1/1/2019 04:35,0,0,0,120,9,29.83,0.18,2,BKN,KJFK 010435Z AUTO 12009KT 2SM RA BR BKN004 OVC012 09/09 A2982 RMK P0018 T00900090 MADISHF
JFK,1/1/2019 04:40,0,0,0,140,8,29.82,0.18,2,BKN,KJFK 010440Z AUTO 14008KT 2SM -RA BR BKN004 OVC012 09/09 A2981 RMK P0018 T00900090 MADISHF
JFK,1/1/2019 04:45,0,0,0,140,9,29.82,0.18,2,BKN,KJFK 010445Z AUTO 14009KT 2SM -RA BR BKN004 OVC012 09/09 A2981 RMK P0018 T00900090 MADISHF
JFK,1/1/2019 04:50,0,0,0,140,9,29.82,0.19,4,BKN,KJFK 010450Z AUTO 14009KT 4SM RA BR BKN004 OVC012 09/09 A2981 RMK P0018 T00900090 MADISHF
JFK,1/1/2019 04:51,48.9,48.9,100,150,9,29.82,0.19,4,BKN,KJFK 010451Z 15009KT 4SM RA BR BKN005 OVC012 09/09 A2982 RMK AO2 SLP096 P0019 T00940094 400941011
JFK,1/1/2019 04:55,0,0,0,150,8,29.81,0.01,4,BKN,KJFK 010455Z AUTO 15008KT 4SM -RA BR BKN004 09/09 A2980 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 05:00,0,0,0,160,9,29.8,0.01,4,BKN,KJFK 010500Z AUTO 16009KT 4SM -RA BR BKN004 09/09 A2979 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 05:05,0,0,0,160,10,29.8,0.02,4,BKN,KJFK 010505Z AUTO 16010KT 4SM RA BR BKN004 10/10 A2979 RMK P0001 T01000100 MADISHF
JFK,1/1/2019 05:10,0,0,0,170,10,29.79,0.02,4,BKN,KJFK 010510Z AUTO 17010KT 4SM -RA BR BKN004 10/10 A2979 RMK P0001 T01000100 MADISHF
JFK,1/1/2019 05:15,0,0,0,170,11,29.78,0.03,4,BKN,KJFK 010515Z AUTO 17011KT 4SM RA BR BKN004 10/10 A2978 RMK P0002 T01000100 MADISHF
JFK,1/1/2019 05:18,50,50,100,170,11,29.78,0.03,0.25,OVC,KJFK 010518Z 17011KT 1/4SM R04R/P6000FT RA BR OVC003 10/10 A2978 RMK AO2 SFC VIS 1 P0003 T01000100
JFK,1/1/2019 05:20,0,0,0,170,12,29.78,0.03,1,BKN,KJFK 010520Z AUTO 17012KT 1SM -RA BR BKN003 10/10 A2978 RMK P0002 T01000100 MADISHF
JFK,1/1/2019 05:25,0,0,0,170,11,29.78,0.04,1,BKN,KJFK 010525Z AUTO 17011KT 1SM -RA BR BKN003 09/09 A2978 RMK P0003 T00900090 MADISHF
JFK,1/1/2019 05:30,0,0,0,170,11,29.78,0.04,1,BKN,KJFK 010530Z AUTO 17011KT 1SM -RA BR BKN003 09/09 A2978 RMK P0003 T00900090 MADISHF
JFK,1/1/2019 05:35,0,0,0,180,10,29.78,0.05,1,BKN,KJFK 010535Z AUTO 18010KT 1SM -RA BR BKN003 09/09 A2978 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 05:40,0,0,0,180,11,29.77,0.06,1,BKN,KJFK 010540Z AUTO 18011KT 1SM RA BR BKN003 09/09 A2977 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 05:45,0,0,0,180,11,29.77,0.06,1,BKN,KJFK 010545Z AUTO 18011KT 1SM -RA BR BKN003 09/09 A2977 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 05:50,0,0,0,180,10,29.77,0.07,1,OVC,KJFK 010550Z AUTO 18010KT 1SM -RA BR OVC003 09/09 A2977 RMK P0007 T00900090 MADISHF
JFK,1/1/2019 05:51,48.9,48.9,100,180,10,29.77,0.07,0.25,OVC,KJFK 010551Z 18010KT 1/4SM R04R/P6000FT -RA BR OVC003 09/09 A2977 RMK AO2 SFC VIS 1 SLP079 P0007 60107 T00940094 10100 20067 56067
JFK,1/1/2019 05:55,0,0,0,190,9,29.76,0.01,1,OVC,KJFK 010555Z AUTO 19009KT 1SM -RA BR OVC003 09/09 A2976 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 06:00,0,0,0,190,8,29.76,0.01,1,OVC,KJFK 010600Z AUTO 19008KT 1SM -RA BR OVC003 09/09 A2976 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 06:05,0,0,0,190,8,29.75,0.01,1,OVC,KJFK 010605Z AUTO 19008KT 1SM -RA BR OVC003 09/09 A2975 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 06:10,0,0,0,190,8,29.75,0.01,1,OVC,KJFK 010610Z AUTO 19008KT 1SM -RA BR OVC003 09/09 A2975 RMK P0000 T00900090 MADISHF
JFK,1/1/2019 06:15,0,0,0,190,7,29.75,0.02,1,OVC,KJFK 010615Z AUTO 19007KT 1SM -RA BR OVC003 09/09 A2975 RMK P0001 T00900090 MADISHF
JFK,1/1/2019 06:20,0,0,0,180,7,29.73,0.03,1,OVC,KJFK 010620Z AUTO 18007KT 1SM RA BR OVC003 09/09 A2972 RMK P0002 T00900090 MADISHF
JFK,1/1/2019 06:25,0,0,0,170,6,29.73,0.04,1,OVC,KJFK 010625Z AUTO 17006KT 1SM RA BR OVC003 09/09 A2972 RMK P0003 T00900090 MADISHF
JFK,1/1/2019 06:30,0,0,0,180,6,29.72,0.04,1,OVC,KJFK 010630Z AUTO 18006KT 1SM -RA BR OVC003 09/09 A2971 RMK P0003 T00900090 MADISHF
JFK,1/1/2019 06:35,0,0,0,170,7,29.72,0.04,1,OVC,KJFK 010635Z AUTO 17007KT 1SM -RA BR OVC003 09/09 A2971 RMK P0003 T00900090 MADISHF
JFK,1/1/2019 06:40,0,0,0,180,5,29.72,0.05,1,OVC,KJFK 010640Z AUTO 18005KT 1SM -RA BR OVC003 09/09 A2971 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 06:45,0,0,0,180,5,29.72,0.05,1,OVC,KJFK 010645Z AUTO 18005KT 1SM -RA BR OVC003 09/09 A2971 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 06:50,0,0,0,170,6,29.71,0.05,0.5,OVC,KJFK 010650Z AUTO 17006KT 1/2SM FG OVC003 09/09 A2970 RMK P0005 T00900090 MADISHF
JFK,1/1/2019 06:51,48,48,100,180,5,29.71,0.05,0.25,OVC,KJFK 010651Z 18005KT 1/4SM R04R/5500VP6000FT FG OVC003 09/09 A2971 RMK AO2 SFC VIS 1/2 RAE50 SLP060 P0005 T00890089
JFK,1/1/2019 06:55,0,0,0,160,5,29.7,0,0.5,OVC,KJFK 010655Z AUTO 16005KT 1/2SM FG OVC003 08/08 A2970 RMK T00800080 MADISHF
JFK,1/1/2019 07:00,0,0,0,170,7,29.7,0,0.5,OVC,KJFK 010700Z AUTO 17007KT 1/2SM -RA FG OVC003 09/09 A2970 RMK T00900090 MADISHF
JFK,1/1/2019 07:05,0,0,0,170,6,29.7,0,0.5,OVC,KJFK 010705Z AUTO 17006KT 1/2SM -RA FG OVC003 09/09 A2970 RMK T00900090 MADISHF
JFK,1/1/2019 07:10,0,0,0,170,6,29.69,0,0.5,OVC,KJFK 010710Z AUTO 17006KT 1/2SM -RA FG OVC003 09/09 A2969 RMK T00900090 MADISHF
JFK,1/1/2019 07:15,0,0,0,160,7,29.68,0,0.5,OVC,KJFK 010715Z AUTO 16007KT 1/2SM FG OVC003 09/09 A2968 RMK T00900090 MADISHF
JFK,1/1/2019 07:20,0,0,0,170,6,29.68,0,0.5,OVC,KJFK 010720Z AUTO 17006KT 1/2SM FG OVC003 09/09 A2968 RMK T00900090 MADISHF
JFK,1/1/2019 07:25,0,0,0,170,5,29.67,0,0.5,OVC,KJFK 010725Z AUTO 17005KT 1/2SM FG OVC003 09/09 A2967 RMK T00900090 MADISHF
JFK,1/1/2019 07:30,0,0,0,170,7,29.66,0,0.5,OVC,KJFK 010730Z AUTO 17007KT 1/2SM FG OVC003 09/09 A2965 RMK T00900090 MADISHF
JFK,1/1/2019 07:35,0,0,0,160,6,29.65,0,0.5,OVC,KJFK 010735Z AUTO 16006KT 1/2SM FG OVC003 09/09 A2964 RMK T00900090 MADISHF
JFK,1/1/2019 07:40,0,0,0,180,8,29.65,0,0.5,OVC,KJFK 010740Z AUTO 18008KT 1/2SM FG OVC003 09/09 A2964 RMK T00900090 MADISHF
JFK,1/1/2019 07:45,0,0,0,170,10,29.64,0,0.5,OVC,KJFK 010745Z AUTO 17010KT 1/2SM FG OVC003 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 07:50,0,0,0,170,9,29.64,0,0.5,OVC,KJFK 010750Z AUTO 17009KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 07:51,48,48,100,180,10,29.63,T,0.25,OVC,KJFK 010751Z 18010KT 1/4SM R04R/2600V4000FT FG OVC002 09/09 A2963 RMK AO2 SFC VIS 1/2 RAB00E14 SLP034 P0000 T00890089
JFK,1/1/2019 07:55,0,0,0,180,10,29.63,0,0.5,OVC,KJFK 010755Z AUTO 18010KT 1/2SM FG OVC002 09/09 A2962 RMK T00900090 MADISHF
JFK,1/1/2019 08:00,0,0,0,190,9,29.64,0,0.5,OVC,KJFK 010800Z AUTO 19009KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:05,0,0,0,200,8,29.65,0,0.5,OVC,KJFK 010805Z AUTO 20008KT 1/2SM FG OVC002 09/09 A2964 RMK T00900090 MADISHF
JFK,1/1/2019 08:10,0,0,0,230,7,29.65,0,0.5,OVC,KJFK 010810Z AUTO 23007KT 1/2SM FG OVC002 09/09 A2964 RMK T00900090 MADISHF
JFK,1/1/2019 08:15,0,0,0,230,6,29.65,0,0.5,OVC,KJFK 010815Z AUTO 23006KT 1/2SM FG OVC002 09/09 A2964 RMK T00900090 MADISHF
JFK,1/1/2019 08:20,0,0,0,260,4,29.64,0,0.5,OVC,KJFK 010820Z AUTO 26004KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:25,0,0,0,230,5,29.64,0,0.5,OVC,KJFK 010825Z AUTO 23005KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:30,0,0,0,240,4,29.64,0,0.5,OVC,KJFK 010830Z AUTO 24004KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:35,0,0,0,250,5,29.64,0,0.5,OVC,KJFK 010835Z AUTO 25005KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:40,0,0,0,250,5,29.64,0,0.5,OVC,KJFK 010840Z AUTO 25005KT 1/2SM FG OVC002 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:45,0,0,0,280,6,29.64,0,0.5,BKN,KJFK 010845Z AUTO 28006KT 1/2SM FG BKN002 BKN009 OVC024 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:50,0,0,0,280,4,29.64,0,1.5,BKN,KJFK 010850Z AUTO 28004KT 1 1/2SM BR BKN002 BKN009 OVC024 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 08:51,48.9,48.9,100,280,3,29.64,0,1.5,BKN,KJFK 010851Z 28003KT 1 1/2SM R04R/4000VP6000FT BR BKN002 BKN010 OVC024 09/09 A2964 RMK AO2 SLP036 60005 T00940094 55043
JFK,1/1/2019 08:55,0,0,0,0,0,29.64,0,1.5,BKN,KJFK 010855Z AUTO 00000KT 1 1/2SM BR BKN002 BKN009 OVC014 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 09:00,0,0,0,290,3,29.64,0,1.5,BKN,KJFK 010900Z AUTO 29003KT 1 1/2SM BR BKN002 BKN009 OVC014 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 09:05,0,0,0,320,4,29.64,0,1.5,BKN,KJFK 010905Z AUTO 32004KT 1 1/2SM BR BKN002 BKN009 OVC014 09/09 A2963 RMK T00900090 MADISHF
JFK,1/1/2019 09:10,0,0,0,310,4,29.63,0,1.5,BKN,KJFK 010910Z AUTO 31004KT 1 1/2SM BR BKN002 BKN009 OVC014 09/09 A2962 RMK T00900090 MADISHF
JFK,1/1/2019 09:15,0,0,0,270,7,29.63,0,1.5,BKN,KJFK 010915Z AUTO 27007KT 1 1/2SM BR BKN002 BKN009 OVC014 10/10 A2962 RMK T01000100 MADISHF
JFK,1/1/2019 09:20,0,0,0,260,8,29.62,0,1.5,BKN,KJFK 010920Z AUTO 26008KT 1 1/2SM BR BKN002 BKN009 OVC014 11/11 A2962 RMK T01100110 MADISHF
JFK,1/1/2019 09:25,0,0,0,260,8,29.62,0,1.5,BKN,KJFK 010925Z AUTO 26008KT 1 1/2SM BR BKN002 BKN009 OVC014 11/11 A2962 RMK T01100110 MADISHF
JFK,1/1/2019 09:30,0,0,0,260,10,29.62,0,1.5,BKN,KJFK 010930Z AUTO 26010KT 1 1/2SM BR BKN002 BKN009 OVC014 11/11 A2962 RMK T01100110 MADISHF
JFK,1/1/2019 09:35,0,0,0,260,12,29.62,0,1.5,BKN,KJFK 010935Z AUTO 26012KT 1 1/2SM BR BKN002 BKN009 OVC014 11/11 A2962 RMK T01100110 MADISHF
JFK,1/1/2019 09:40,0,0,0,260,17,29.62,0,1.5,BKN,KJFK 010940Z AUTO 26017KT 1 1/2SM BR BKN002 BKN009 OVC014 12/12 A2962 RMK T01200120 MADISHF
JFK,1/1/2019 09:45,0,0,0,260,17,29.62,0,1.5,BKN,KJFK 010945Z AUTO 26017KT 1 1/2SM BR BKN003 OVC012 13/13 A2962 RMK T01300130 MADISHF
JFK,1/1/2019 09:50,0,0,0,250,18,29.62,0,6,SCT,KJFK 010950Z AUTO 25018KT 6SM BR SCT003 OVC009 13/13 A2962 RMK T01300130 CIG 7V12  MADISHF
JFK,1/1/2019 09:51,55,55,100,250,19,29.62,0,6,SCT,KJFK 010951Z 25019KT 6SM BR SCT003 OVC009 13/13 A2962 RMK AO2 CIG 007V012 SLP029 T01280128
JFK,1/1/2019 09:55,0,0,0,250,20,29.62,0,6,SCT,KJFK 010955Z AUTO 25020KT 6SM BR SCT003 OVC009 13/13 A2962 RMK T01300130 MADISHF
JFK,1/1/2019 10:00,0,0,0,240,19,29.61,0,6,SCT,KJFK 011000Z AUTO 24019KT 6SM BR SCT003 OVC009 13/13 A2961 RMK T01300130 MADISHF
JFK,1/1/2019 10:05,0,0,0,240,20,29.61,0,6,SCT,KJFK 011005Z AUTO 24020KT 6SM BR SCT003 OVC009 13/13 A2961 RMK T01300130 MADISHF
JFK,1/1/2019 10:10,0,0,0,240,18,29.61,0,6,SCT,KJFK 011010Z AUTO 24018KT 6SM BR SCT003 OVC009 13/13 A2961 RMK T01300130 MADISHF
JFK,1/1/2019 10:15,0,0,0,240,18,29.62,0,6,SCT,KJFK 011015Z AUTO 24018KT 6SM BR SCT003 OVC009 13/13 A2962 RMK T01300130 MADISHF
